metric,final_SSE,iters,time_s,accuracy
euclidean,5578416.811072183,101,3.0798041820526123,0.4667466746674667
cosine,3071.9282591368146,30,1.0706560611724854,0.5458545854585458
jaccard,3660.1959119997355,31,5.871106147766113,0.5985598559855986
