method,sim,k,rmse_mean,rmse_std,mae_mean,mae_std
user,cosine,40,0.9931497533264565,0.002465759414175834,0.767112764950549,0.0032373202845523493
item,cosine,40,0.9950999217718216,0.0063764275393259524,0.774791925501196,0.005192046236441351
user,msd,40,0.9677786765388319,0.0024233954330167185,0.7437347849319995,0.0031803582808752197
item,msd,40,0.9345691106428742,0.0059101358255412035,0.7210454050023356,0.005225107761888851
user,pearson,40,0.9983420094767474,0.0026701955809866995,0.7730514995775344,0.0033150302512519204
item,pearson,40,0.9891427265191097,0.006328796637969349,0.7685002885212805,0.004311348830349396
