model,params,rmse_mean,rmse_std,mae_mean,mae_std
SVD_best (PMF),"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.05}",0.8903696585981813,0.004121995737198726,0.6859895862054075,0.0033566992871235197
best_CF_item_msd,k=40,0.9345691106428742,0.0059101358255412035,0.7210454050023356,0.005225107761888851
