split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all
0.9008344418052197,0.8969571921745555,0.905780276019042,0.9034242237052486,0.9000616872943868,0.9014115641996904,0.003004433700444455,7,0.12595901489257813,0.01276939027999005,0.042453670501708986,0.005145025581428299,"{'n_factors': 20, 'lr_all': 0.002, 'reg_all': 0.02}",20,0.002,0.02
0.9016110525185598,0.8969196379673569,0.9057262068002434,0.9035425483329103,0.8997004257387504,0.9014999742715641,0.0030418199861628106,8,0.12419581413269043,0.009890114646605653,0.04274301528930664,0.004783324560496752,"{'n_factors': 20, 'lr_all': 0.002, 'reg_all': 0.05}",20,0.002,0.05
0.8907632787425213,0.8874102738997905,0.8956126368276457,0.8918237511919745,0.8903690399898839,0.8911957961303631,0.0026496635586179523,4,0.1048506259918213,0.00608889758688335,0.038472318649291994,0.0023645229412827744,"{'n_factors': 20, 'lr_all': 0.005, 'reg_all': 0.02}",20,0.005,0.02
0.8903028650535791,0.8864283006524857,0.8936877660091712,0.890902713454149,0.8886271212732896,0.8899897532885349,0.002414437583007215,2,0.11468186378479003,0.012039808915232642,0.041767454147338866,0.002509768450239728,"{'n_factors': 20, 'lr_all': 0.005, 'reg_all': 0.05}",20,0.005,0.05
0.9036894347445802,0.8974904964165435,0.9066959630993371,0.904998233963768,0.9012834196852401,0.9028315095818937,0.003202740547744212,10,0.18156843185424804,0.008625879483987126,0.046502542495727536,0.0025722268566102137,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.02}",50,0.002,0.02
0.9027541062966238,0.8978671996896811,0.9063189281155376,0.9042727313939541,0.9016875321776966,0.9025800995346985,0.002824259958184187,9,0.19452829360961915,0.007645785085910027,0.04197778701782227,0.0035163392977692995,"{'n_factors': 50, 'lr_all': 0.002, 'reg_all': 0.05}",50,0.002,0.05
0.8931636082895094,0.8891222231044947,0.8973774522483559,0.893805241519036,0.8929641568984883,0.8932865364119769,0.002625459676525574,5,0.1921672821044922,0.008814892098610062,0.04451618194580078,0.004714765522268632,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.02}",50,0.005,0.02
0.8905039526333455,0.8860458805329939,0.8929862021171692,0.8918352480372538,0.8885194475777564,0.8899781461797037,0.0024643138999139477,1,0.21511545181274414,0.02495422545705206,0.05416927337646484,0.013024946430234137,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.05}",50,0.005,0.05
0.9045192454902399,0.9015005028997213,0.9106329253018092,0.9070952911763235,0.9035541789844685,0.9054604287705125,0.0031504959155101,12,0.38093175888061526,0.01769321296904564,0.054205131530761716,0.0022075821414620105,"{'n_factors': 100, 'lr_all': 0.002, 'reg_all': 0.02}",100,0.002,0.02
0.9033652547231906,0.8976676250148661,0.9082900349729316,0.9063263409773828,0.9027664541326095,0.9036831419641962,0.00361490739199491,11,0.40925984382629393,0.015182927318392495,0.06078839302062988,0.013032868328677371,"{'n_factors': 100, 'lr_all': 0.002, 'reg_all': 0.05}",100,0.002,0.05
0.8978601563546762,0.8907230365972668,0.9020380991193571,0.8990082085383557,0.8946695951276056,0.8968598191474522,0.0038700908592927755,6,0.3869426727294922,0.015248899993589742,0.05051212310791016,0.005665651494383397,"{'n_factors': 100, 'lr_all': 0.005, 'reg_all': 0.02}",100,0.005,0.02
0.8912427136553678,0.8847369032577043,0.8942614091834613,0.8916857076035748,0.8885599933517255,0.8900973454103667,0.0032333258853421225,3,0.32758617401123047,0.0428242084694448,0.03585515022277832,0.005167696635082636,"{'n_factors': 100, 'lr_all': 0.005, 'reg_all': 0.05}",100,0.005,0.05
