metric,final_SSE,iters,time_s,accuracy
euclidean,5578416.811072183,101,2.789854049682617,0.4667466746674667
cosine,3058.995391594134,123,3.800631046295166,0.5988598859885989
jaccard,3660.26788841469,42,7.763670921325684,0.6007600760076007
